CA150_0h,CUGBP_0h,ESRP1_0h,FBP11_0h,MAGOH_0h,NOVA1_0h,PRP8_0h,PSF_0h,PTB_0h,RAVER1_0h,RBM17_0h,RBM22_0h,RBM3_0h,RBM45_0h,SAM68TV1_0h,SC35_0h,sf3btv1_0h,SF3BTV2_0h,SKIP_0h,SND1_0h,SRM160_0h,SRSF1_0h,SRSF10_0h,SRSF3_0h,SRSF4_0h,SRSF5_0h,SRSF6_0h,SRSF9_0h,TIA1_0h,TRA2A_0h,TRA2B_0h,U11_0h,U12_0h,U2_0h,U2AF1_0h,U2AF2_0h,U4_0h,U4ATAC_0h,U5_0h,U6_0h,U6ATAC_0h,CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Diabetes
1328,24383273.01,3893701.407,202473.3093,27313170,1338279.383,8113957.642,50068577.51,79893.47208,18004316.2,9491191.194,44875154.88,18859889.54,34617068.39,7783697.083,1161793.928,2751769.841,98407.43749,12395168.77,6134.19125,45227191.7,18034609.78,15116.59685,42960826.99,195410197.3,19680696.92,183714489.6,11206070.72,100583487.5,26467567.56,33876306.72,34292769.88,59376776.17,125808.404,276316267.1,17272386.63,21650821.15,2125503899,2820704.271,17549616.21,99782457.24,1666924.09,34286244.54,4691813.3,434959.68,52319452.22,4887144.33,4509501.57,34877112.95,1241716.92,16964659.27,5923092.56,33380375.6,18598708.76,33009549.24,12738671.6,1640524.28,4293389.79,10479980.11,62179109.59,2765901.88,21233995.5,24327638.37,427497.17,30711431.97,148335212.8,14977115.73,144175697.9,5030969.75,69677078.55,37534969.73,52888267.87,52946467.66,84679043.64,136808.7,866048188.6,13571819.84,10551927.44,8233131462,3173457.33,20932221.92,124969125.6,1924359.74,N
1454,22809035.15,4655161.851,83883.74755,42067094.83,4860589.335,440119.5416,57690166.63,98391.44371,1658787400,9434792.443,27780655.6,32126046.97,68488759.19,10571774.12,1509533.434,4257358.073,6433537.715,35886243.36,4600.4246,34937322.92,24475055.36,28778.46013,51037488.18,169968130,18673791.94,150988689.8,11452479.6,89519743.23,23518837.82,53192540.29,53425969.08,198257182.3,189523.8293,307084905.3,13801266.08,17462172.76,2050716215,,22919235.86,177113944.5,151021.8107,38752131.44,6844773.11,149203.22,56575433.54,5161995.3,818390.3,74727583.77,197725.21,2186707545,10802733.85,26560692.46,34231221.82,50792428.48,11016730.05,1701955.78,4344893.48,6473007.11,52032704.63,2794.87,38072776.74,32614880.6,84657.24,49725018.23,192538913.1,22925983.56,179384492.1,9019511.77,107563085.5,31151561.91,69205617.98,63577590.34,155192538.2,92540.18,537662677.5,14847828.07,26173902.56,3330479492,,24672052.38,133058347.7,180148.02,N
1571,35599009.48,5226208.63,177276.6879,51111057.58,3962160.937,1074763.422,50345019.49,157522.3086,1740720164,9088704.606,21968106.58,27744934.64,32837141,7504824.636,1530990.975,3929990.798,7063551.221,39365945.47,2898.1983,44115619.69,26048551.71,35601.7684,37866485.05,126938892.7,16810794.98,134276749.1,6970055.388,101892402.6,22939020.08,54858804.19,55172356.51,104463724.8,30934.31211,514142082,11095039.39,10722079.34,2575186485,,22261557.11,38619115.27,40080.78228,40527017.99,5846389.23,207744.39,60447689.19,4914927.76,881818.67,65250474.71,394188.62,1998686604,9732492.46,25530979.32,31393840.09,38577665.94,9921090.01,1690453.56,4269624.01,8582861.88,39820038.32,5073.78,45202707.67,29953205.11,88310.4,47238855.55,144288714.5,22011068.43,121555563,8725832.17,107199004.1,24765838.24,59313673.69,57347613.22,182869605.4,39759.5,764300598.7,14694314.79,15791932.33,3914625830,,24119757.96,86926329.79,134450.23,N
1610,24170903.05,4053934.668,257722.1912,17139801.59,1703003.859,10199593.28,43090250.61,9045.39934,20810303.68,3745892.37,29319101.31,15783759.4,46048743.65,2940036.568,414389.3348,1493901.129,1059877.535,13746362.71,11568.45434,28186426.78,15878908.1,22829.67896,26641500.75,81103329.58,8973284.747,106376921.8,3513471.578,91995558.97,14570570.85,42937173.55,16785895,137715108.9,29349.13375,128236567.1,16119029.8,11181695.9,3404619435,1287604.991,17163628.53,77091105.32,1685231.264,23169530.48,4312074.15,48992.8,33931385.2,1594746.76,187838.81,76592020.03,55224.25,22337844.02,5438336.76,18471206.74,27436513.26,47675623.34,3658068.88,720509.76,2810962.04,4518721.48,29424969.87,223990.45,32512559.73,26451948.05,18749,39249228.08,63599831.34,9883167.63,75344715.54,3722418.43,74634926.47,12552786.1,37813624.74,14191669.06,64726555.69,15939.63,218541387.8,10234158.53,11996099.49,1690343938,592471.23,18734052.24,50673274.09,612888.25,N
1619,10904918.45,3574647.348,92725.31895,10398204.73,569607.6647,714260.3151,37027405.28,2826.31852,20401261.37,3601678.217,17174436.25,7872351.917,32865165.6,1636710.867,161535.8524,1144524.171,1222567.145,9036292.23,15938.68843,24187019.94,10225602.06,2196.6919,13461903.26,31176239.46,6407191.654,83512476.96,3515362.287,38999154.77,5857844.127,17801393.41,9745416.026,117584571,109266.9183,151498123.2,10255007.48,11210213.53,2252575869,680320.3717,12230228.21,20458945.09,829424.469,28292635.33,6336379.35,74797.96,25727169.62,2180057.09,40063.55,44865340.14,23076.5,22351093.83,5109270.78,20600264.1,15718544.69,31229161.46,3531348.49,717428.59,2006879.67,1825844,13617887.79,32021.89,26451536.7,22420971.95,10176.17,28534168.97,86410346.24,11406249.18,81408051.2,3019984.22,71903408.57,22637864.77,32609276.57,25432769.54,65737533.06,17643.83,236301436,11393586.95,10647651.43,2182047227,493992.76,18836126.48,38097036.23,649880.22,N
1623,29136273.55,4496117.577,63269.65548,75528982.36,4873788.227,239133.6173,64182529.33,730989.8326,22100942.92,14207619.81,14791583.14,21993400.11,34326462.42,8488439.887,865559.3877,4343543.814,10927612.86,58199514.78,511064.2685,45411653.93,33879622.66,18695.25267,35179030.99,133473774.8,12553063.17,114464441.6,6079358.485,117409226.2,27010091.39,57797042.28,45214516.12,118741493.9,103541.6687,284427818.7,19823954.65,20099252.34,1744159671,4128055.703,27439947.51,61587718.05,1581246.321,25418786.71,4540370.76,222670.82,64359137.22,3673250.83,2062260.48,55888779.21,1431814.9,18227778.75,11266031.74,13800166.84,19029078.56,25613371.92,7479499.96,928323.33,4030491.96,10290229.77,50721941.15,1105311.28,43756606.44,26411943.89,85396.93,32670427.15,102969658.7,10939399.16,77183519.41,4816780.5,105791701.5,18685753.17,39790330.39,38280695.68,74469491.47,29375.41,468646154.2,17429333.99,17665270.59,2515206442,4765870.62,25718497.94,80682059.35,2874139.86,N
1656,40179113.48,6498053.169,521845.4494,52369245.49,7295314.913,3226379.084,53772328.23,458230.1245,20560046.4,9170753.523,24206866.45,,33427777.47,9578762.446,1567607.77,3805307.619,6854462.19,46499989.65,1104417.388,35581475.71,25599379.32,212423.4906,35718223.21,167202930.6,18275425.72,166952084.7,10283444.04,91632583.73,40523597.65,47409137.34,60998263,199596856.8,145171.01,1005029870,13864204.42,14199503.35,5702672400,3464390.379,35488518.93,205822920.8,3657543.054,45635991.39,6511483.56,142847.92,73050805.22,7518118.47,22062.63,73657425.8,492489.19,20544823.3,9754630.31,21233510.04,,32805135.6,13273728.72,1933280.87,4002526.81,13160418.07,55814451.01,1801071.67,42324504.25,34715138.56,67699.57,43897932.12,197990109.8,21376897.45,139084584.1,7301246.08,94696499.86,56386919.06,57371388.29,91890355.39,169685314.2,57436,910339937.3,13659645.45,11926525.85,3051655505,2178489.38,46122301.42,120691910.9,2369486.91,N
1665,32840702.75,5796178.793,173952.8982,51105138.04,4161313.531,725759.6311,55099295.63,66099.52043,1782048105,8887588.954,20387158.59,37431304.16,56202910.63,10048244.13,1439814.48,4239843.69,6033031.387,35727959.11,2177.82043,40899538.27,29979070.02,50950.75265,55969913.72,178780228.5,18976041.34,138461418.4,7793636,107552233,32029141.97,50428843.62,54667168.22,229784468.5,62711.32889,334518098.7,14138544.19,17032249.89,3053503842,,15253820.43,96970657.76,94583.05979,41905751,7314206.75,337098.41,20852730.02,2467135.57,188625832.1,66097639.26,87061.77,1752393374,9678247.58,76726249.72,42600277.05,74615003,8497593.77,1943257.59,3957729.29,3371625.71,33567454.04,2571.31,38413175.89,28857533.73,24563.48,116262548.2,164004437.2,21465864.97,102791870.4,7572440.67,84738145.81,22889422.85,59254103.96,38189282.95,154584636,22054.22,107527973.4,28317390.36,26874461.32,1307188433,,33597154.8,324824755,423767.93,N
1697,31158008.02,4541089.182,64313.29204,50126631.52,5517433.313,877865.6891,56050839.56,42671.50296,19886211.08,9499115.575,19752953.33,,32896082.52,10398432.32,1809972.233,2952210.508,3128480.847,35812484.77,219199.7991,36789928.6,27511178.69,20022.47596,39905536.1,199744377.1,14674066.5,138577606.8,10005513.07,103561424.2,57360206.74,47084020.53,58340110.67,164658990,69931.61359,401591375,12762871.58,10667713.72,1905919429,2614329.56,34552428.16,62056748.34,1983710.436,22693554.72,4877232.24,157009.35,45429601.26,3457475.83,794687.49,40664816.99,95504.29,18522530.83,6881914.9,17535300.88,,28881860.25,7872627.31,1426318.64,2628766.88,3002805.97,31230354.81,299264.5,26766162.98,19894007.31,26934.93,26199323.28,158887331.8,11274523.78,93626498.96,5485928.22,75055203.85,28654340.85,35548657.31,50448219.85,77562057.02,8380.65,355869433.1,11052215.11,9493050.25,3986301390,1114798.73,22421483.06,46168954.04,1065967.6,N
1751,21118508.83,4860385.17,201199.4834,40939301.7,4917164.878,4321511.867,40852340.3,193419.8657,17876870.26,6597027.553,16604136.87,16807848.58,28144963.4,7052486.623,905502.8106,1726379.104,4722690.572,24146385.26,357186.8647,41394451.68,21804174.63,93053.26949,31526796.12,120528871.2,11694459.98,104054277.4,6397916.651,93281901.55,17628544.59,42062711.31,42426911.15,90967665.83,105592.2644,284002589.6,18266535.7,14599378.77,3015056587,3270279.628,27703764.15,53121443.55,2126907.541,28573681.12,6178532.53,109302.71,52636059.65,6814345.24,31626.69,49727824.43,546715.12,23607023.36,12592981.12,20069419.62,19686975.04,32886028.72,7305701.02,1796765.91,3724388.68,6724508.48,39548015.54,772978.61,47067909.5,27288296.43,16791.76,34918758.04,113416651.9,17209752.99,116391048.3,8785827.38,107470540.5,25069722.09,52251794.84,47418939.53,66752111.93,134790.9,145353850.1,24863817.82,18811909.6,1233500648,2114446.35,34954008,65352327.55,2393347.19,N
1797,36036684.12,5945136.302,95735.76435,68849614.94,4430980.492,161628.9015,81849979.09,546645.7395,25339933.04,19414792.26,20498568,29419327.73,41900971.08,10201388.78,1079545.4,5678861.166,7221050.036,59948553.71,403277.0433,50735061.05,38884820.12,18313.93065,37853799.11,161917511.3,16742959.89,112909669.1,8415365.253,105773774.8,33680183.1,49596434.83,63305493.7,94956083.44,125814.0898,506043484.8,17457555.49,20198956.12,3027687527,708540.371,34857058.4,109886491.8,4070746.367,46144107.41,4498308.22,122029.9,28379750.09,7130335.83,17333563.29,64561057.93,263170.31,14915069.34,4994434.07,38228352.28,22390356.14,65969798.49,6070738.5,952501.31,2329208.27,3477731.18,75247609.55,411832.84,44375245.59,42260868.12,17229.8,91908145.43,54075787.78,26304445.64,108567256.6,8872708.77,52516648.63,11750604.22,95350398.57,58152931.55,120139889.7,231968.74,310547195.9,12795225.89,27426592.14,5677972.83,2991127.98,89762368.19,164381794.3,6009327.91,N
43,33651323.69,5277284.257,94591.07471,40675005.06,4081613.349,119317.487,69584054.92,665355.9065,26011087.62,11342070.57,22565896.29,24581502.48,33222270.44,9344763.129,1288862.151,3242782.041,6291423.328,38726006.24,1813366.291,48323558.31,33442085.23,33156.93742,36786415.46,102713898.9,25191621.58,178020086.9,8856061.351,97889469.81,11764942.41,54451164.42,28545551.88,147846185.4,51482.85637,719575055,10138708.58,11158496.48,1072242064,434218.6865,47044526.26,43424452.82,1692337.352,35049374.65,6822019.45,63291.63,36364198.5,1711130.66,168635.82,62789355.88,34218.89,28709379.22,11681264.93,31785612.6,22440570.69,44519993.87,6186841.2,1445072.6,3818401.11,1295957.22,29788459.73,94621.32,63596800.25,26267530.06,14645.21,35856685.66,109623416.2,20131043.29,196834507.1,13807058.81,89417685.05,10250106.2,51806704.96,40351182.27,167034250.8,75177.78,378208094.4,11563246.98,9904402.45,378171332.1,326684.18,28136080.58,32100029.54,1202835.42,N
96,26086150.95,4717144.991,91170.88022,34968466.42,8138230.322,177131.9813,65593537.41,158836.1548,18231958.37,9391487.56,17535302.22,25983269.34,41599626.45,6864050.111,1852368.142,6297939.484,4879665.759,43862515.98,464165.8356,22972335.79,32706321.86,33706.54009,34622559.22,83339141.77,14815941.41,95667206.93,7985332.571,61548867.37,13539856.1,34985005.74,15249443.94,56854762.81,31843.02,238591956.5,13005359.39,17031700.51,1159065830,889521.5304,11097155.5,17223838.86,1453470.436,23561890.75,5204513.83,129450.25,18791054.07,10632944.64,246437.27,37528448.91,35908.9,15008055.7,6135047.55,13178231.7,17724292.25,35616404.9,2190062.28,1204656.91,2950614.86,1382634.59,31097084.26,86309.38,24819636.11,19090190.21,15876.66,24918498.55,78277385.13,11097021.6,79649018.98,5478466.81,53778014.89,15989703.48,29740447.8,23087640.95,52297204.48,13551.01,116930384.3,14475023.66,11352165.51,478102804,1268700.42,27939046.91,43308361.96,649014.21,N
100,29195524.29,5452716.03,156859.6198,21950216.08,9288065.298,1571787.519,45644179.73,14347.0202,18640706.75,8488584.986,20451552.65,15677839.09,28689652.09,3979850.198,1111695.714,3335554.014,904043.1033,25674983.87,25535.37181,34796934.54,21737530.57,5401.5962,30403330.97,93811951.46,16479566.95,122418631.6,8247037.384,81860166.81,14848128.46,45870237.97,17442409.49,32650456.43,4420.70397,115218387.2,19249127.65,20706491.13,3756339414,1368099.117,41320759.51,56581552.73,1729173.507,36187157.16,5044756.1,151053.88,34651242.42,9652313.98,2887892.81,71591890.59,98234.14,20411417.2,9422739.69,22824301.6,25989375.98,39447398.06,7239232.8,1295481.65,5383794.82,2461746.78,34277000.64,196926.27,37755552.52,32485833.79,20627.93,34399778.44,107688677,17795479.2,166948605.2,6501585.96,95653564.13,18771623.42,44597654.41,25045416.42,56718812.05,36182.53,340520243.1,18141922.64,19448742.61,2312889439,1788062.81,24898161,41068256.32,3378048.03,N
134,25082674.78,5624350.496,103115.6303,28591338.98,1306873.149,32587.40406,36244616.27,17729.19177,19128586.01,5821587.574,22206134.78,16254290.73,32267836.34,4190574.424,929042.1619,472565.3384,1745895.091,25087924.75,47907.49577,50071273.63,21006233.52,46948.98773,28304268.58,64681208.5,11115100.43,184290651,6580749.355,76495056.08,7659062.558,43650882.13,23819327.91,657874994.8,16926.97215,1798376049,8483160.369,9335585.597,1551452932,121295.7562,15376528.32,77843644.94,1767763.623,42784127.54,6426640.91,47644.9,52253889.7,3645502.88,123727.84,79709743.9,3192.2,28979799.95,14521844.76,23641367.79,27717389.82,49703959.92,4869498.15,1953058.42,1606122.17,872047.16,38823720.53,95158.05,58822439.04,31299296.96,5211.64,37912376.02,150447760.2,19273825.97,167407367.7,7892127.04,137850475,20907363.27,56025884.34,47283823.4,130882959.7,6931.17,317931083.2,15246506.72,16926714.81,1321912003,135403.18,28525370.73,33052102.72,924004.52,N
135,37503754.51,6492103.452,192561.6491,21650309.14,10147043.96,571634.5975,65243450.25,100514.544,22386893.78,10118855.98,24674054.72,14670426.48,34488987.43,5470857.898,1866055.428,4694184.681,2986402.06,35181590.9,146284.5973,47229719,32005943.05,14521.39313,24780613.92,120156417.1,21674800.62,146381659.6,13246480.1,103303743.7,25551848.98,49839942.1,35474463.7,79217189.2,124540.5068,187855400,22749081.41,25229956.53,2599756889,3010964.28,59483821.23,92612753.65,3368563.517,23189056.72,3024792.25,90736.98,29791529.06,5420637.89,807176.25,66496038.31,69703.31,16842328.53,8033719.31,15954557.18,20465338.94,32669700.71,4720891.35,839150.55,5568032.03,3060078.91,32065191.38,328815.03,32750948.34,22646397.73,16596.37,24445403.37,70949043.96,10631976.52,86061193.26,6026137.82,57371854.19,13448590.98,38771656.86,15576775.15,67413830.88,55178.08,359997840,12038579.53,14578074.33,2137815991,768514.32,24444366.79,37564549.56,1353325.27,N
136,45293026.45,7803825.859,64070.86176,50772183.93,3109295.401,183084.5343,64147113.93,38135.16316,29354010.59,9791465.075,23884413.3,21528081.43,44713059.95,7333200.071,1727428.914,1835464.053,2827133.535,38911639.91,250779.9695,58762845.11,32409801.51,,33302850.71,122796975.1,17450497.34,163737878,8998758.977,125023307.9,15086243.32,70979139.77,44907784.35,151420850.9,7882.72178,795533216.1,13005553.38,9161918.995,1108606653,92213.78584,36578879.18,33801073.14,1198475.73,44574489.72,6453362.48,75872.79,48763534.05,1334657.59,12181.5,68636015.84,16958.82,26455780.13,13134969.95,23746334.48,23771019.73,65345045.44,5638590.46,1697552.73,3915824.72,1069630.24,46044492.01,127090.26,61754494.98,31116859.96,24112.66,39582890.78,140149799.6,20074283.42,167988916.6,11992551.23,130355594.8,14325813.62,47210844.84,43713539.38,195378190.2,38156.2,264123713,13608587.31,19197913.1,983637127.1,235498.41,20354895.28,37060126.89,1334228.75,N
157,25192085.8,3751897.941,162422.3439,34811271.69,8380471.167,3907186.592,62201557.65,204004.445,17057469.7,8489750.596,20409888.19,20414916.02,25542260.76,7639618.281,949589.4382,5946977.575,3379632.229,35803319.69,431928.0182,30975015.32,27757406.72,81557.50444,29389965.13,93507690.91,14632802.31,109412578.6,7420720.63,64952629.92,12906912.99,30173198.55,19405236.94,72637732.27,39182.92333,375904140.7,13646330.17,14513701.38,2405622247,1562015.896,31843645.44,50384284.4,4401794.16,24423292.33,3166987.14,186910.83,30019663.46,8589853.9,1752630.35,49632213.22,267781.41,15222948.35,7616551.81,17549783.91,16450733.76,30402777.19,7161373.57,813612.86,4658252.63,2945116.47,24734990.74,505956.2,33455235.94,23990144.8,25548.41,32309434.6,107430889.5,12983003.87,109583791.4,7567460.91,78496586.6,16755454.8,34771431.82,24993139.09,88049105.98,92492.29,395617986.8,14536205.02,13104252.8,2581826173,4547658.85,44645065.37,68717133.36,2300024.3,N
196,13763363.43,3161408.762,272499.7281,31008780.79,3747743.965,7578848.118,40393757.71,194884.8326,13033915.41,5292005.709,19556551.39,16146504.45,28243863.63,5904627.045,1216379.388,4091192.597,6877034.62,31315417.9,465824.2755,22725084.21,22226374.47,29144.67419,27098121.91,70794262.64,10887824.6,69374809.79,5276716.229,62946838.74,12576738.23,26062533.42,18841040.59,103475426.1,113380.3425,286371413.2,14435998.1,13829009.76,2603160934,1900398.847,17927293.87,112763239.5,5072034.212,26855029.66,5423364.84,73114.36,46385734.18,4590673.51,179284.66,57718513.59,268135.19,19498356.93,8222813.34,20136152.27,24119365.85,47484069.12,7756616.28,2290517.23,5608438.82,10796664.71,49959936.47,471064.23,31491823.11,32802176.81,27494.62,35206408.71,100080339.2,12976147.59,148609598.7,6983539.28,86306882.7,20176093.65,44164447.37,25553519.37,224404348.2,723192.04,213523423.1,20148295.43,21502421.69,1500236336,5977177.22,22231898.47,72350347.19,1515585.31,N
197,14449081.11,2781581.216,704132.9946,25124424.44,2501393.132,31096273.47,29997707.81,83143.45692,13166255.32,4867968.794,36878548.45,13855994.32,28573240.6,4576379.334,633754.2526,2963350.35,4140251.665,25939035.9,138352.9809,18452193.2,17257093.65,52079.94938,20559806.7,86247515.61,8362192.474,73531886.76,4795092.305,71586997.3,10717096.54,17506364.93,14999733.2,91647088.89,54084.05023,157517864,23829336.16,9240292.512,3390763559,2316414.308,11832956.16,251756480.7,11286704.78,20277077.55,3418451.75,217780.47,33442744.54,3690318.4,2507655.08,50245051.3,125171.47,17268145.81,7684301.44,16497611.4,19813397.08,33915946.37,6388854.79,1531560.07,3906741.63,10344965.63,37854141.22,450583.99,25122608.25,25399804.03,6657.79,25678406.41,78751938.07,10876828.68,122217432.2,5393830.66,65434740.87,10513829.53,25672152.35,16321650.38,99142646.81,115407.51,574154265.7,14670951.84,14780263.78,2281001516,2157388.44,21025758.65,78458411.58,3009513.06,N
212,44812488.61,4389146.287,220903.2277,31386762.23,3129889.108,1368462.805,40218689.11,465206.0541,1012457393,7969812.923,15613069.62,11474407.1,20668148.16,4209715.731,1137420.657,6624774.949,5285886.31,9140406.38,6556.95266,46461069.29,22624779.21,120320.9876,25975080.3,53125496.03,13927775.35,94896855.67,8046826.723,62294568.7,13563264.69,37261941.41,34254650.3,57678897.71,28960.14286,333226990.7,15567961.55,13444061.39,1194600656,,19048854.23,41063771.07,68330.05722,29093248.89,4247258.85,171918.66,32217475.03,3212829.1,1654038.78,44056799.92,131558.34,1403246584,8139546.02,16512526.69,24607783.21,31327759.88,4858694.47,1077792.04,5104754.41,4332883.96,31023254.57,2328.26,37014502.57,25145168.57,48435.91,28064280.63,87951701.34,13505125.76,94375759.48,5989975.57,64781637.62,19393061.73,27106750.19,34863860.39,156969162.1,88795.42,534034514,11340676.02,9756819.29,1491121946,,18672755.67,34972632.45,54229.33,N
218,42146751.47,7322350.091,200477.7252,44732152.41,4940368.984,1477605.48,58319041.92,160564.2891,2213539268,10290681.14,24140824.81,31301894.97,46006978.08,6855949.613,1551154.293,3184431.575,5022579.067,51529308.26,1909.59774,43174355.27,37297013.03,56803.7209,35121463.03,146155555.3,18737391.62,146552307.5,4770950.955,75055553.79,33350984.13,51279481.44,49841986.11,202431866.7,81087.67844,530712269.4,14208716.69,21368589.85,3953740561,,26210856.47,95183062.85,143688.7061,41219226.64,5395689.75,162948.38,43061923.02,4114306.84,1260889.59,72213227.14,193920.75,1898155257,10461862.91,23024163.62,30295580.87,47816375.34,5898189.14,1454430.46,4108995.47,4485042.95,47534890.24,2938.9,47238367.78,33397170.24,53016.88,37014314.19,133728909.9,20035320.81,171239083.7,5466042.09,68833916.45,30089099.97,47893300.93,50915309.64,297200378.4,187094.84,614276889.3,13039949.61,21489701.22,4447050294,,22365843.5,97296628.05,115132.48,N
268,15964199.77,3131368.307,121727.1946,30680874.44,2602629.346,1989956.522,36634976.9,81115.89991,12122638.82,5578014.437,13870965.19,12966779.42,32513666.46,3641847.162,854179.8724,2159988.866,4886906.75,27158969.57,151373.6832,29056178.36,17256864.63,19097.85308,23777896.72,58450869.96,7992548.281,81412097.72,5486851.599,58846946.16,11040844.13,25797267.9,14020243.66,112517663.9,257751.4494,172485543.3,14397434.97,10732217.19,1450809876,2329492.816,14693900.69,54822624.18,1567533.172,23219187.25,4539211.97,86239.66,42884869.49,4606449.69,601768.45,48014577.66,469223.32,15198264.95,7453574.81,19979797.1,18933395.99,35204749.64,6852442.87,1985525.17,4107871.55,9309836.53,36556986.68,729046.66,34204440.87,26414025.13,42596.82,34947978.83,65446388.5,13334881.94,108844584.2,8380046.65,69284958.33,16777052.37,37086977.69,16066463.93,105067407.2,355843.62,259076482.8,18328511.65,14367095.95,1253239156,2143848.8,25017286.3,61921585.63,2142083.97,N
357,54598823.33,6928755.687,159457.9874,86894599.58,7934808.005,680342.5396,79535062.7,455798.3205,28843734.23,11248782.92,20145945.21,40947210.81,48076299.91,14332491.65,8845379.851,9840928.809,8047099.076,72983380.6,877561.9444,45092983.87,47095556.49,23370.20269,78034662.58,356382386.8,22455538.16,161463148.5,8850425.5,165555445.4,57534073.21,73122060.38,82402820.61,197799158.8,69715.73245,243732472.1,16046988.14,15677984.41,2927899053,8476482.296,27233681.6,79259477.69,1157579.451,42949813.66,5180563.03,99426.21,45631087.54,3730906.04,1484458.89,52859863.82,16781.65,17645044.57,7564177.05,16138411.24,30119616.6,41750486.4,7032632.59,3649105.96,4237922.45,2816381.01,39105526.77,87400.63,33509543.63,28905818.55,42482.89,42552103.43,246737029.2,15088267.22,137031494.6,5248560.31,135900506.6,35000731.72,53372658.25,73837086.07,310047049.4,72969.8,407373222.4,15559793.07,11078728.44,2958045696,5651133.84,20982137.02,40920575.81,565977.15,N
455,48158081.17,8078170.154,73532.08333,69811732.61,3251967.287,518057.3588,80274235.25,3177.62434,28987945.12,9363990.85,24674942.08,36478210.16,42525025.74,10720831.33,2618333.575,2077430.415,1051551.958,54293764.62,389953.1556,45779693.31,35165295.03,44089.45587,44891855.28,197606812.6,14474402.37,212396929,5183860.865,120119471.9,43249170.89,79721220.88,64859227.42,192052420.6,2902.9411,274915099.9,11306476.75,13665105.7,2661388330,562982.2775,34813612.78,45484580.84,1343260.897,39246660.94,6587971.88,114865.74,36387100.02,2780330.01,222721.9,62943770.17,1087.4,25302381.51,7427665.82,20457597.5,22719099.01,43790933.7,7310867.3,1753885.07,1631773.27,501402.44,35378912.52,28885.76,40487841.75,26779756.73,24464.68,29178229.61,148623458.9,10932255.77,196495932.6,3678590.33,109450307.2,32012418.22,56916133.34,34577668.54,475459772.3,15853,342944201.3,10080225.27,10237404.29,4017036192,1498718.96,25957885.96,47456448.21,1233877.07,N
468,40101649.45,6660891.622,175389.7248,37888818.49,7220555.985,4468148.744,41493585.59,4181.78709,22302144.2,8139263.485,23556293.48,35790170.18,39156603.06,7142847.593,10221432.47,3504072.743,1392400.653,36336783.66,20260.15125,43603663.06,29067493.83,72830.71476,52391193.79,346358906.9,18947657.17,115178261.8,7097022.017,142505963.8,49715662.1,56195897.35,76240241.94,146944864.3,36687.74957,112284121.8,16687598.6,15894208.66,3073152247,2724824.39,25342884.65,49813714.65,503310.8877,52831238.23,4831441.08,147890.92,72187992.97,4538238.64,2108192.23,65325911.68,42141.95,19797698.21,9293080.97,21973499.43,41682286.78,55233111.39,10550448.86,4770859.21,8395082.17,9099213.98,83287062.64,273090.2,28775893.8,44384346.72,28452.94,47169028.51,348681917.5,19016304.41,168250854.5,5708129.62,148070137.1,50386243.31,60432786.81,79566966.18,383542691,170854.08,308693624.4,15742059,11210237.07,2604239984,7304955.34,18860102.3,91631050.06,1468988.69,N
526,80116937.74,10890585.38,60148.47787,99701689.72,3419731.189,187043.31,119440549.4,71355.79735,70521271.96,13088789.01,30662118.27,45706599.62,116022706.3,8143057.831,14679913.77,26600516.27,1403159.388,118404190.2,726349.1636,91156725.99,50731707.73,6441.09822,65188186.81,664978512.2,31511561.64,277478084.1,5411525.799,108582072.5,62451236.36,65685794.75,156651519,160994809.2,26118.77273,39082400.64,7605323.44,12139297.39,703348092.2,369358.9935,8068658.656,6980935.919,89814.25393,109675549.9,10687229.58,61476.78,90119210.21,2454737.56,54849.16,69166002.15,25622.47,60176868.84,6366150.8,36448283.77,50438387.17,97034874.08,10100426.31,7381766.52,19069045.39,414337.35,90572562.88,232182.66,125828700.4,34716136.19,41585.25,46801937.28,554164448.5,31516718.59,208122948.7,3253501.19,182337429.5,69148662.07,55892027.19,90678199.32,191185033.5,35314.41,17601872.83,10729759.25,9212130.64,2688948026,426869.47,3143865.73,6231575.92,110642.86,N
