CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Class,
449,-0.015925599602991,0.031382894094631,-0.82158349689774,0.065352538022792,-1.01509851718904,-0.378329424297151,0.510221189321603,-2.01268333027675,0.157119325421296,-0.185575244103388,-0.140443079256721,0.673373430180279,0.362247563585844,0.219816072736959,0.40003290117424,-0.836164053104211,-1.76027715359994,-0.161702914187083,-0.254178689265375,0.255408885272316,0.149129816516027,-1.17083165940255,-0.542448353492516,0.441115764628682,-0.164799446330852,0.548030120767871,-0.542933973007587,0.398754752457198,0.080418799579971,0.839185471974011,0.336505086396278,1.53084706150843,-1.27101711697663,-0.337137519349605,-1.37810868277702,-0.12624753327069,0.441020925099345,-0.376398518985929,0.235326142399656,-0.39079538457781,-0.611068797636553,N
525,1.72670630974415,1.16814819021384,-0.236178722072461,2.4363028480137,-0.303168509628016,-0.109831962682302,1.25785301903727,0.767166533581689,0.740133474129179,-0.152125424710094,-0.175761905686598,0.314770165721265,1.40912351664829,0.064524983562841,2.21378814158691,2.52710417234832,-1.02484253431675,2.14621713578342,1.08733514710523,1.83864863036938,0.129221058962161,-0.129302305326185,1.13670608406898,1.6585079432137,1.04067886173394,0.911407962887838,-1.11801611120552,1.10496576093362,1.54424909685794,1.8018214970454,1.41472974433415,1.20635983331458,0.116667741200847,-1.6965497921137,-1.63140402671237,-0.988018153673642,-0.084317274312552,-0.465900104802892,-2.23863938609589,-2.43798870380175,-1.47912380001202,N
602,2.07850148161754,1.17204750555169,1.13319290058251,2.63140584714649,-0.544385664793809,0.887468250820689,2.09838603866451,-1.03455677507238,0.711310626659117,0.875505028112461,1.5845029828429,2.66863339585945,2.1195724465528,2.27612256294134,2.16185836229469,2.41524964049697,-1.54601258926345,1.86490660293254,0.282338765182803,2.20527084502413,-0.225470025363913,0.410211315244501,2.44634512027606,2.20735975763121,2.78159491698243,2.94172744575332,1.81330521899669,2.01571955353946,1.69035798016899,0.926240230532956,1.59301060076442,1.58578198970054,1.17177000163558,-0.136265961950857,-1.6482732712825,-1.02060387546322,1.49926682352252,1.3684723074659,-0.252147003475321,-0.378720676280821,-0.169749644801273,N
757,-0.610329374871635,0.581291467754891,-0.740287818905844,-0.33039959632247,-0.042317042714111,-0.477147816472401,0.176715797166003,-0.267432483489851,-0.26425871489744,0.828435123401709,-0.343011323553816,-0.291487302026014,0.364246190611941,-0.129086179516218,-0.046781290460288,-0.970369442886999,-0.43153515814782,-0.585388568166916,-0.40865258826475,-0.155772899109765,0.123385110276917,-1.49804793629883,-0.433623474448693,-0.59524034698661,0.170181922355801,-0.097783042326551,0.190737956787022,-0.76823236112584,-0.052604308722549,-0.264345814935019,0.063212359939604,-1.15698269075351,-0.782010027974696,-0.402216468335232,0.035723648495476,0.509969033305892,-0.620934110132265,-1.18271409935966,0.178268838079327,0.010609748956314,-0.005499979849519,N
766,-1.43139729880191,-0.784402905254863,-1.03136267299067,-0.065371920333735,-0.829262740113177,0.235526331983299,-0.341073274562729,-0.03691185362086,-0.692895269800346,-0.726273965809749,-0.855195913161557,-0.534331815464236,-0.682931668685393,-0.232886485916326,-0.564343575273217,-1.09056154847553,-0.057754923882236,-0.373349439185458,0.195942687309188,-0.520024107463304,-0.063081075014444,-1.5167570974995,-1.00427952358926,-1.18516090088451,-0.584916445178565,-0.742319412874825,-0.341074748433219,-0.808630634604831,-0.326004352545162,-0.935696041249611,-0.405389459727953,-1.76328238604868,-1.01313976227974,-0.782035694095476,-1.24402114969569,-0.269469804148932,-0.74007171269984,-0.348659541091228,-0.167898277377119,-0.770802918693636,-0.124871397157873,N
778,-1.33053414705755,-0.64666288173201,0.075241310215447,-0.598275451615562,-0.827894937859291,-0.417385454870812,-0.340879403924987,-0.302388471392933,-0.796099219011037,-0.583198961295613,-0.72978262766008,-0.571898442550066,-0.954574807088153,-0.187381464760917,-1.07277382279792,-1.22434362787913,-0.154705777447551,-0.37822524581908,-0.050225501288014,-0.827750777054278,-0.571904853344737,-0.868297018503976,-0.753117124136741,-1.46321753390043,-0.567901288282412,-0.280300981024219,-0.587108637460804,-0.719773238691928,-0.6938115921442,-0.779673502089962,-0.731863279900309,-0.282870042290172,-0.252961586340169,-0.110957552438292,-1.78026451230577,-0.437995909331872,-0.162938615059024,-0.966587949615377,-0.073096273906126,-0.587808589170319,-0.007732632972214,N
784,-1.09375184999975,-0.700109040703453,-0.737190927101128,-0.031886768241543,-0.384940104409508,-0.085817148759022,-0.121824158156604,0.511941168493452,-0.626388180335369,-0.473818026702747,-1.16288408703114,-0.284674989766773,0.303904086804234,0.26779651856171,-0.299593667911421,-0.772517033530308,0.596365281619817,-0.272926087230415,0.80463248329032,-0.470033986636435,0.096742559471892,-0.678870115098034,-0.603226444805627,-0.840326642651796,-0.292983927327858,-0.333232192941291,-0.328280517422834,-0.816049833801416,-0.454862153312993,-0.89577029029468,-0.277268252585111,-1.56273643334895,-0.967631831114673,-0.218591869291228,-1.38051625616381,-0.45549561870328,-0.826819778547806,-0.475802775788869,-0.152081422568381,-0.556005188087635,-0.105603533509914,N
819,1.4077861445701,3.58477802092517,1.65096165615735,-0.103799605399331,-0.693369259546056,0.944557629846815,1.41291773578615,-0.855167396416763,0.422617986563078,1.08718910182371,1.8526722886795,0.697469225754884,1.87099819996726,-1.01086945547025,0.375714489794678,-0.155441750706105,0.367147689692015,1.49499982619976,-0.383253954364423,1.58838713202216,1.21739451610891,1.08507938460872,0.921002157394027,0.813046293510995,0.448926078816121,2.83579668643422,-1.25664814473993,0.923162370351964,-0.055000333004941,-0.59945675858926,-0.382820572205498,0.540684872955663,1.26490095869567,-1.04721486119244,1.28982214704571,2.61939736408124,1.17459621787397,0.434163277358949,-1.01673879880755,1.08758275991907,1.26933749543352,N
843,-1.51980822559261,-0.784485947457878,-0.627044196926253,-0.169690821338598,-0.440515679132974,-1.35719539679803,-0.698008203161539,0.574132083248168,-0.664859082000846,-0.807959137688541,-1.53775995678747,-0.625206595844517,-1.74137500992855,-0.517259218770295,-0.498372253533523,-0.973217724731976,0.303553471699059,-0.423828962175115,0.493777987220759,-0.258622678115552,-0.742003994548429,-0.972871367014798,-0.576945710945001,-1.28346880424308,-0.535673323806649,-0.669117444359919,-0.349904348055073,-0.629220898824839,-0.606261989009019,-1.05947938460243,-0.487324421297645,-1.65554294330415,-0.741961669224748,-0.683709402263576,-1.05098118892764,-0.456139963268686,-1.27028170809397,-0.481816348758473,-0.257269068269745,-0.656149840836191,0.093897182680062,N
862,0.28815386557811,0.18307591776585,0.159454152008523,0.096723799564362,0.013521932317981,-0.891457247887894,0.639476446410936,1.87912165230274,-0.172792991150594,0.384010029849952,-0.259083986815557,-0.320252195793297,-0.163985855400147,0.005043668020458,-0.097286296935899,-0.0715964644926,1.14018545439127,0.587150353735816,1.66012801852028,-0.076531081781132,0.309675220778168,0.410460512583072,0.07689601738631,-0.910150071475603,-0.021137165298103,-0.250740153042689,0.393337658769046,-0.410228058789154,-0.783894609592067,0.434137838906062,-0.41041322954733,-1.01240391586301,0.316753697717539,1.58900018400188,-1.27337799192407,-0.260161027660563,-0.24903824314972,0.400755570051061,0.620024437250589,0.737975137897168,1.12524342681545,N
