Isoform	hg19.kgXref.kgID	Gen
uc001kqf.2	uc001kqf.2	ABCC2|1244
uc002isk.3	uc002isk.3	ABCC3|8714
uc002isl.2	uc002isl.2	ABCC3|8714
uc002ism.2	uc002ism.2	ABCC3|8714
uc002isn.2	uc002isn.2	ABCC3|8714
uc001vmd.3	uc001vmd.3	ABCC4|10257
uc001vme.2	uc001vme.2	ABCC4|10257
uc001vmf.2	uc001vmf.2	ABCC4|10257
uc010afj.2	uc010afj.2	ABCC4|10257
uc010afk.2	uc010afk.2	ABCC4|10257
uc010afl.1	uc010afl.1	ABCC4|10257
uc010afm.1	uc010afm.1	ABCC4|10257
uc010tih.1	uc010tih.1	ABCC4|10257
uc003fmg.2	uc003fmg.2	ABCC5|10057
uc003fmh.2	uc003fmh.2	ABCC5|10057
uc003fmi.3	uc003fmi.3	ABCC5|10057
uc010hxl.2	uc010hxl.2	ABCC5|10057
uc010hxm.2	uc010hxm.2	ABCC5|10057
uc010hxn.2	uc010hxn.2	ABCC5|10057
uc010hxo.2	uc010hxo.2	ABCC5|10057
uc011bqt.1	uc011bqt.1	ABCC5|10057
uc002dfg.2	uc002dfg.2	ABCC6P1|653190
uc010vam.1	uc010vam.1	ABCC6P1|653190
uc002dcu.2	uc002dcu.2	ABCC6P2|730013
uc002dem.2	uc002dem.2	ABCC6|368
uc002den.3	uc002den.3	ABCC6|368
uc002deo.3	uc002deo.3	ABCC6|368
uc010bvo.2	uc010bvo.2	ABCC6|368
uc010uzz.1	uc010uzz.1	ABCC6|368
uc001mnc.2	uc001mnc.2	ABCC8|6833
uc010rcy.1	uc010rcy.1	ABCC8|6833
uc001rfg.2	uc001rfg.2	ABCC9|10060
uc001rfh.2	uc001rfh.2	ABCC9|10060
uc001rfi.1	uc001rfi.1	ABCC9|10060
uc001rfj.1	uc001rfj.1	ABCC9|10060
uc001rfk.2	uc001rfk.2	ABCC9|10060
uc001rfl.1	uc001rfl.1	ABCC9|10060
uc004fif.2	uc004fif.2	ABCD1|215
uc004fig.2	uc004fig.2	ABCD1|215
uc004fih.2	uc004fih.2	ABCD1|215
uc001rmb.2	uc001rmb.2	ABCD2|225
uc001dqm.3	uc001dqm.3	ABCD3|5825
uc001dqn.3	uc001dqn.3	ABCD3|5825
uc001dqo.3	uc001dqo.3	ABCD3|5825
uc009wdr.2	uc009wdr.2	ABCD3|5825
uc010oto.1	uc010oto.1	ABCD3|5825
uc010otp.1	uc010otp.1	ABCD3|5825
uc001xpr.2	uc001xpr.2	ABCD4|5826
uc001xps.2	uc001xps.2	ABCD4|5826
uc001xpt.2	uc001xpt.2	ABCD4|5826
uc001xpu.2	uc001xpu.2	ABCD4|5826
uc001xpv.2	uc001xpv.2	ABCD4|5826
uc010tur.1	uc010tur.1	ABCD4|5826
uc003ijx.2	uc003ijx.2	ABCE1|6059
uc003ijy.2	uc003ijy.2	ABCE1|6059
uc010iot.2	uc010iot.2	ABCE1|6059
uc003nqk.2	uc003nqk.2	ABCF1|23
uc003nql.2	uc003nql.2	ABCF1|23
uc003nqm.2	uc003nqm.2	ABCF1|23
uc010jsb.2	uc010jsb.2	ABCF1|23
uc003wjo.1	uc003wjo.1	ABCF2|10061
uc003wjp.2	uc003wjp.2	ABCF2|10061
uc003fmz.2	uc003fmz.2	ABCF3|55324
uc003fna.2	uc003fna.2	ABCF3|55324
uc003fnb.2	uc003fnb.2	ABCF3|55324
uc002zam.2	uc002zam.2	ABCG1|9619
uc002zan.2	uc002zan.2	ABCG1|9619
uc002zao.2	uc002zao.2	ABCG1|9619
uc002zap.2	uc002zap.2	ABCG1|9619
uc002zaq.2	uc002zaq.2	ABCG1|9619
uc002zar.2	uc002zar.2	ABCG1|9619
uc010gpb.1	uc010gpb.1	ABCG1|9619
uc011aev.1	uc011aev.1	ABCG1|9619
uc003hrf.2	uc003hrf.2	ABCG2|9429
uc003hrg.2	uc003hrg.2	ABCG2|9429
uc003hrh.2	uc003hrh.2	ABCG2|9429
uc003hri.1	uc003hri.1	ABCG2|9429
uc003hrj.1	uc003hrj.1	ABCG2|9429
uc003hrk.1	uc003hrk.1	ABCG2|9429
uc001pvs.2	uc001pvs.2	ABCG4|64137
uc001pvt.1	uc001pvt.1	ABCG4|64137
uc009zar.2	uc009zar.2	ABCG4|64137
uc002rtm.2	uc002rtm.2	ABCG5|64240
uc002rtn.2	uc002rtn.2	ABCG5|64240
uc002rto.2	uc002rto.2	ABCG5|64240
uc002rtp.2	uc002rtp.2	ABCG5|64240
uc002rtq.2	uc002rtq.2	ABCG8|64241
uc010yoa.1	uc010yoa.1	ABCG8|64241
uc003dyk.3	uc003dyk.3	ABHD10|55347
uc011bhq.1	uc011bhq.1	ABHD10|55347
uc003tza.2	uc003tza.2	ABHD11|83451
uc003tzb.2	uc003tzb.2	ABHD11|83451
uc003tzc.2	uc003tzc.2	ABHD11|83451
uc003tzf.2	uc003tzf.2	ABHD11|83451
uc011kfb.1	uc011kfb.1	ABHD11|83451
uc011kfc.1	uc011kfc.1	ABHD11|83451
uc001wyq.2	uc001wyq.2	ABHD12B|145447
uc001wyr.2	uc001wyr.2	ABHD12B|145447
uc001wys.2	uc001wys.2	ABHD12B|145447
uc010any.2	uc010any.2	ABHD12B|145447
uc002wuq.2	uc002wuq.2	ABHD12|26090
uc002wur.2	uc002wur.2	ABHD12|26090
uc002wus.1	uc002wus.1	ABHD12|26090
uc002wut.1	uc002wut.1	ABHD12|26090
uc002wuu.1	uc002wuu.1	ABHD12|26090
uc001vqq.2	uc001vqq.2	ABHD13|84945
uc003dco.2	uc003dco.2	ABHD14A|25864
uc010hlz.2	uc010hlz.2	ABHD14A|25864
uc003dcm.2	uc003dcm.2	ABHD14B|84836
uc003dcn.2	uc003dcn.2	ABHD14B|84836
uc010hly.2	uc010hly.2	ABHD14B|84836
uc011bdy.1	uc011bdy.1	ABHD14B|84836
uc011bdz.1	uc011bdz.1	ABHD14B|84836
uc002hed.1	uc002hed.1	ABHD15|116236
uc002rit.2	uc002rit.2	ABHD1|84696
uc002riu.2	uc002riu.2	ABHD1|84696
uc002riv.2	uc002riv.2	ABHD1|84696
uc002riw.2	uc002riw.2	ABHD1|84696
uc002bnj.2	uc002bnj.2	ABHD2|11057
uc002bnk.2	uc002bnk.2	ABHD2|11057
uc010ups.1	uc010ups.1	ABHD2|11057
uc002ktk.2	uc002ktk.2	ABHD3|171586
uc002ktl.2	uc002ktl.2	ABHD3|171586
uc002ktm.2	uc002ktm.2	ABHD3|171586
uc002ktn.2	uc002ktn.2	ABHD3|171586
uc002kto.2	uc002kto.2	ABHD3|171586
uc010xao.1	uc010xao.1	ABHD3|171586
uc001wgm.2	uc001wgm.2	ABHD4|63874
uc010tmz.1	uc010tmz.1	ABHD4|63874
uc010tna.1	uc010tna.1	ABHD4|63874
uc010tnb.1	uc010tnb.1	ABHD4|63874
uc003cmx.2	uc003cmx.2	ABHD5|51099
uc003djr.2	uc003djr.2	ABHD6|57406
uc003djs.3	uc003djs.3	ABHD6|57406
uc003djt.3	uc003djt.3	ABHD6|57406
uc002ngb.3	uc002ngb.3	ABHD8|79575
uc001isx.2	uc001isx.2	ABI1|10006
uc001isy.2	uc001isy.2	ABI1|10006
uc001isz.2	uc001isz.2	ABI1|10006
uc001ita.2	uc001ita.2	ABI1|10006
uc001itb.2	uc001itb.2	ABI1|10006
uc001itc.2	uc001itc.2	ABI1|10006
uc001itd.2	uc001itd.2	ABI1|10006
uc001ite.2	uc001ite.2	ABI1|10006
uc010qdg.1	uc010qdg.1	ABI1|10006
uc010qdh.1	uc010qdh.1	ABI1|10006
uc010qdi.1	uc010qdi.1	ABI1|10006
uc010qdj.1	uc010qdj.1	ABI1|10006
uc010qdk.1	uc010qdk.1	ABI1|10006
uc002uzz.2	uc002uzz.2	ABI2|10152
uc002vaa.2	uc002vaa.2	ABI2|10152
uc002vab.2	uc002vab.2	ABI2|10152
uc002vac.2	uc002vac.2	ABI2|10152
uc010zig.1	uc010zig.1	ABI2|10152
uc010zih.1	uc010zih.1	ABI2|10152
uc010zii.1	uc010zii.1	ABI2|10152
uc010zij.1	uc010zij.1	ABI2|10152
uc010zik.1	uc010zik.1	ABI2|10152
uc010zil.1	uc010zil.1	ABI2|10152
uc010zim.1	uc010zim.1	ABI2|10152
uc010zin.1	uc010zin.1	ABI2|10152
uc003duj.2	uc003duj.2	ABI3BP|25890
uc003duk.2	uc003duk.2	ABI3BP|25890
uc003dul.2	uc003dul.2	ABI3BP|25890
uc003dum.2	uc003dum.2	ABI3BP|25890
uc003dun.2	uc003dun.2	ABI3BP|25890
uc003duo.2	uc003duo.2	ABI3BP|25890
uc003dup.3	uc003dup.3	ABI3BP|25890
uc011bhd.1	uc011bhd.1	ABI3BP|25890
uc002iop.1	uc002iop.1	ABI3|51225
uc002ioq.1	uc002ioq.1	ABI3|51225
uc004bzv.2	uc004bzv.2	ABL1|25
uc004bzw.2	uc004bzw.2	ABL1|25
uc001gmg.3	uc001gmg.3	ABL2|27
uc001gmh.3	uc001gmh.3	ABL2|27
uc001gmi.3	uc001gmi.3	ABL2|27
uc001gmj.3	uc001gmj.3	ABL2|27
uc001gmk.2	uc001gmk.2	ABL2|27
uc009wxe.2	uc009wxe.2	ABL2|27
uc009wxf.1	uc009wxf.1	ABL2|27
uc010pne.1	uc010pne.1	ABL2|27
uc010pnf.1	uc010pnf.1	ABL2|27
uc010png.1	uc010png.1	ABL2|27
uc010pnh.1	uc010pnh.1	ABL2|27
uc001lbz.1	uc001lbz.1	ABLIM1|3983
uc009xyn.2	uc009xyn.2	ABLIM1|3983
uc009xyo.2	uc009xyo.2	ABLIM1|3983
uc009xyp.2	uc009xyp.2	ABLIM1|3983
uc010qsf.1	uc010qsf.1	ABLIM1|3983
uc010qsg.1	uc010qsg.1	ABLIM1|3983
uc010qsh.1	uc010qsh.1	ABLIM1|3983
uc010qsi.1	uc010qsi.1	ABLIM1|3983
uc010qsj.1	uc010qsj.1	ABLIM1|3983
uc010qsk.1	uc010qsk.1	ABLIM1|3983
uc003gki.2	uc003gki.2	ABLIM2|84448
uc003gkj.3	uc003gkj.3	ABLIM2|84448
uc003gkk.2	uc003gkk.2	ABLIM2|84448
uc003gkl.2	uc003gkl.2	ABLIM2|84448
uc003gkm.3	uc003gkm.3	ABLIM2|84448
uc003gko.2	uc003gko.2	ABLIM2|84448
uc003gkp.2	uc003gkp.2	ABLIM2|84448
uc003gkq.2	uc003gkq.2	ABLIM2|84448
uc003gkr.2	uc003gkr.2	ABLIM2|84448
uc003gks.3	uc003gks.3	ABLIM2|84448
uc011bwl.1	uc011bwl.1	ABLIM2|84448
uc003lpy.2	uc003lpy.2	ABLIM3|22885
uc003lpz.1	uc003lpz.1	ABLIM3|22885
uc003lqa.1	uc003lqa.1	ABLIM3|22885
uc003lqb.2	uc003lqb.2	ABLIM3|22885
uc003lqc.1	uc003lqc.1	ABLIM3|22885
uc003lqd.1	uc003lqd.1	ABLIM3|22885
uc003lqe.1	uc003lqe.1	ABLIM3|22885
uc003lqf.2	uc003lqf.2	ABLIM3|22885
uc004cda.1	uc004cda.1	ABO|28
uc010naf.1	uc010naf.1	ABO|28
uc010nag.1	uc010nag.1	ABO|28
uc011mcz.1	uc011mcz.1	ABO|28
uc003why.1	uc003why.1	ABP1|26
uc003whz.1	uc003whz.1	ABP1|26
uc003wia.1	uc003wia.1	ABP1|26
uc003ymm.3	uc003ymm.3	ABRA|137735
uc002fsd.2	uc002fsd.2	ABR|29
uc002fse.2	uc002fse.2	ABR|29
uc002fsf.2	uc002fsf.2	ABR|29
uc002fsg.2	uc002fsg.2	ABR|29
uc002fsh.1	uc002fsh.1	ABR|29
uc010cjq.1	uc010cjq.1	ABR|29
uc010vqf.1	uc010vqf.1	ABR|29
uc010vqg.1	uc010vqg.1	ABR|29
uc003nii.2	uc003nii.2	ABT1|29777
uc003ejr.2	uc003ejr.2	ABTB1|80325
uc003ejs.2	uc003ejs.2	ABTB1|80325
uc003ejt.2	uc003ejt.2	ABTB1|80325
uc003eju.2	uc003eju.2	ABTB1|80325
uc010hsm.2	uc010hsm.2	ABTB1|80325
uc001mvl.1	uc001mvl.1	ABTB2|25841
uc003cht.2	uc003cht.2	ACAA1|30
uc003chu.2	uc003chu.2	ACAA1|30
uc003chv.2	uc003chv.2	ACAA1|30
uc010hgy.2	uc010hgy.2	ACAA1|30
uc010hgz.2	uc010hgz.2	ACAA1|30
uc002ldw.3	uc002ldw.3	ACAA2|10449
uc002ldx.3	uc002ldx.3	ACAA2|10449
uc002hnk.2	uc002hnk.2	ACACA|31
uc002hnl.2	uc002hnl.2	ACACA|31
uc002hnm.2	uc002hnm.2	ACACA|31
uc002hnn.2	uc002hnn.2	ACACA|31
uc002hno.2	uc002hno.2	ACACA|31
uc002hnp.1	uc002hnp.1	ACACA|31
uc002hnq.2	uc002hnq.2	ACACA|31
uc002hnr.1	uc002hnr.1	ACACA|31
uc010cuy.2	uc010cuy.2	ACACA|31
uc010cuz.2	uc010cuz.2	ACACA|31
uc010wdb.1	uc010wdb.1	ACACA|31
uc010wdc.1	uc010wdc.1	ACACA|31
uc001tob.2	uc001tob.2	ACACB|32
uc001toc.2	uc001toc.2	ACACB|32
uc001tod.2	uc001tod.2	ACACB|32
uc010sxl.1	uc010sxl.1	ACACB|32
